date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2022-05-20 00:00:00,2022,5,20,0,4,0,-156.3,34.4,190.7,69.3,16.03,74.5,19.2
2022-05-20 00:05:00,2022,5,20,0,9,0,-207.6,34.1,241.7,69.66,18.94,74.5,19.2
2022-05-20 00:10:00,2022,5,20,0,14,0,-208.4,32.3,240.7,69.66,18.94,74.5,19.2
2022-05-20 00:15:00,2022,5,20,0,19,0,-192.0,26.0,218.0,69.3,16.03,74.5,19.2
2022-05-20 00:20:00,2022,5,20,0,24,0,-170.0,20.6,190.6,69.3,16.03,74.5,19.2
2022-05-20 00:25:00,2022,5,20,0,29,0,-141.3,22.0,163.3,69.3,16.03,74.5,19.2
2022-05-20 00:30:00,2022,5,20,0,34,0,-110.7,21.5,132.2,69.3,16.03,74.5,19.2
2022-05-20 00:35:00,2022,5,20,0,39,0,-87.1,18.4,105.5,69.3,16.03,74.5,19.2
2022-05-20 00:40:00,2022,5,20,0,44,0,-62.7,19.3,82.0,69.76,27.01,74.5,19.2
2022-05-20 00:45:00,2022,5,20,0,49,0,-71.2,17.4,88.6,65.6,22.83,74.5,19.2
2022-05-20 00:50:00,2022,5,20,0,54,0,-46.2,14.5,60.7,78.92,11.95,74.5,19.2
2022-05-20 00:55:00,2022,5,20,0,59,0,-37.4,13.2,50.6,78.92,11.95,74.5,19.2
2022-05-20 01:00:00,2022,5,20,1,4,0,-39.3,25.7,65.0,78.92,11.95,74.5,19.2
2022-05-20 01:05:00,2022,5,20,1,9,0,-27.7,26.7,54.4,78.92,11.95,74.5,19.2
2022-05-20 01:10:00,2022,5,20,1,14,0,-21.5,24.5,46.0,78.92,11.95,65.6,22.83
2022-05-20 01:15:00,2022,5,20,1,19,0,-26.9,22.3,49.2,78.92,11.95,74.5,19.2
2022-05-20 01:20:00,2022,5,20,1,24,0,-19.1,23.2,42.3,78.92,11.95,65.6,22.83
2022-05-20 01:25:00,2022,5,20,1,29,0,-14.5,23.9,38.4,78.92,11.95,71.09,25.79
2022-05-20 01:30:00,2022,5,20,1,34,0,-23.4,21.3,44.7,78.92,11.95,70.54,22.22
2022-05-20 01:35:00,2022,5,20,1,39,0,-22.6,20.5,43.1,78.92,11.95,70.54,22.22
2022-05-20 01:40:00,2022,5,20,1,44,0,-22.9,18.7,41.6,78.2,15.82,65.6,22.83
2022-05-20 01:45:00,2022,5,20,1,49,0,-28.7,15.6,44.3,78.92,11.95,71.09,25.79
2022-05-20 01:50:00,2022,5,20,1,54,0,-36.3,16.0,52.3,78.2,15.82,65.6,22.83
2022-05-20 01:55:00,2022,5,20,1,59,0,-36.3,22.0,58.3,77.0,15.6,65.6,22.83
2022-05-20 02:00:00,2022,5,20,2,4,0,-30.6,28.9,59.5,78.2,15.82,65.6,22.83
2022-05-20 02:05:00,2022,5,20,2,9,0,-27.6,38.3,65.9,77.0,15.6,70.93,51.3
2022-05-20 02:10:00,2022,5,20,2,14,0,-24.9,36.7,61.6,77.0,15.6,65.6,22.83
2022-05-20 02:15:00,2022,5,20,2,19,0,-8.0,42.5,50.5,77.0,15.6,65.6,22.83
2022-05-20 02:20:00,2022,5,20,2,24,0,-12.3,39.4,51.7,71.09,25.79,65.6,22.83
2022-05-20 02:25:00,2022,5,20,2,29,0,-12.8,38.9,51.7,76.51,25.01,65.6,22.83
2022-05-20 02:30:00,2022,5,20,2,34,0,-10.4,39.1,49.5,76.51,25.01,65.6,22.83
2022-05-20 02:35:00,2022,5,20,2,39,0,-4.5,34.2,38.7,76.51,25.01,65.6,22.83
2022-05-20 02:40:00,2022,5,20,2,44,0,-2.2,27.5,29.7,61.54,53.21,65.6,22.83
2022-05-20 02:45:00,2022,5,20,2,49,0,-12.9,18.3,31.2,76.51,25.01,65.6,22.83
2022-05-20 02:50:00,2022,5,20,2,54,0,-5.1,16.9,22.0,74.5,19.2,77.0,15.6
2022-05-20 02:55:00,2022,5,20,2,59,0,-2.8,18.4,21.2,76.51,25.01,78.92,11.95
2022-05-20 03:00:00,2022,5,20,3,4,0,-2.7,22.7,25.4,61.54,53.21,78.92,11.95
2022-05-20 03:05:00,2022,5,20,3,9,0,-3.3,18.0,21.3,65.6,22.83,78.92,11.95
2022-05-20 03:10:00,2022,5,20,3,14,0,-26.5,20.1,46.6,65.6,22.83,78.92,11.95
2022-05-20 03:15:00,2022,5,20,3,19,0,-42.6,15.6,58.2,65.6,22.83,78.92,11.95
2022-05-20 03:20:00,2022,5,20,3,24,0,-42.8,10.3,53.1,65.6,22.83,78.92,11.95
2022-05-20 03:25:00,2022,5,20,3,29,0,-39.8,8.0,47.8,65.6,22.83,78.92,11.95
2022-05-20 03:30:00,2022,5,20,3,34,0,-43.6,18.2,61.8,65.6,22.83,78.92,11.95
2022-05-20 03:35:00,2022,5,20,3,39,0,-53.3,29.4,82.7,65.6,22.83,78.2,15.82
2022-05-20 03:40:00,2022,5,20,3,44,0,-68.5,43.7,112.2,65.6,22.83,78.2,15.82
2022-05-20 03:45:00,2022,5,20,3,49,0,-93.2,51.8,145.0,65.6,22.83,78.2,15.82
2022-05-20 03:50:00,2022,5,20,3,54,0,-107.6,65.6,173.2,65.6,22.83,78.2,15.82
2022-05-20 03:55:00,2022,5,20,3,59,0,-126.7,78.6,205.3,65.6,22.83,77.0,15.6
2022-05-20 04:00:00,2022,5,20,4,4,0,-113.4,84.2,197.6,65.6,22.83,77.0,15.6
2022-05-20 04:05:00,2022,5,20,4,9,0,-112.4,78.2,190.6,65.6,22.83,77.0,15.6
2022-05-20 04:10:00,2022,5,20,4,14,0,-131.6,67.8,199.4,65.6,22.83,76.51,25.01
2022-05-20 04:15:00,2022,5,20,4,19,0,-150.6,87.6,238.2,65.6,22.83,76.51,25.01
2022-05-20 04:20:00,2022,5,20,4,24,0,-163.8,90.7,254.5,65.6,22.83,76.51,25.01
2022-05-20 04:25:00,2022,5,20,4,29,0,-154.6,96.0,250.6,65.6,22.83,76.51,25.01
2022-05-20 04:30:00,2022,5,20,4,34,0,-168.5,95.2,263.7,65.6,22.83,76.51,25.01
2022-05-20 04:35:00,2022,5,20,4,39,0,-120.4,84.6,205.0,65.6,22.83,76.51,25.01
2022-05-20 04:40:00,2022,5,20,4,44,0,-163.4,53.6,217.0,70.93,51.3,78.92,11.95
2022-05-20 04:45:00,2022,5,20,4,49,0,-182.2,35.3,217.5,70.93,51.3,78.92,11.95
2022-05-20 04:50:00,2022,5,20,4,54,0,-194.6,30.4,225.0,70.93,51.3,78.92,11.95
2022-05-20 04:55:00,2022,5,20,4,59,0,-157.9,30.1,188.0,70.93,51.3,77.0,15.6
2022-05-20 05:00:00,2022,5,20,5,4,0,-155.4,56.1,211.5,70.93,51.3,77.0,15.6
2022-05-20 05:05:00,2022,5,20,5,9,0,-153.2,23.3,176.5,70.93,51.3,77.0,15.6
2022-05-20 05:10:00,2022,5,20,5,14,0,-205.8,-1.2,204.6,70.93,51.3,78.92,11.95
2022-05-20 05:15:00,2022,5,20,5,19,0,-301.5,-6.0,295.5,76.51,25.01,52.07,12.68
2022-05-20 05:20:00,2022,5,20,5,24,0,-264.6,-2.9,261.7,76.51,25.01,52.07,12.68
2022-05-20 05:25:00,2022,5,20,5,29,0,-242.6,-1.4,241.2,78.2,15.82,59.21,5.25
2022-05-20 05:30:00,2022,5,20,5,34,0,-219.7,-1.0,218.7,76.51,25.01,59.21,5.25
2022-05-20 05:35:00,2022,5,20,5,39,0,-223.8,0.1,223.9,77.0,15.6,59.21,5.25
2022-05-20 05:40:00,2022,5,20,5,44,0,-207.5,2.4,209.9,77.0,15.6,59.21,5.25
2022-05-20 05:45:00,2022,5,20,5,49,0,-131.3,4.5,135.8,76.51,25.01,69.46,23.7
2022-05-20 05:50:00,2022,5,20,5,54,0,-131.7,15.9,147.6,76.51,25.01,71.09,25.79
2022-05-20 05:55:00,2022,5,20,5,59,0,-147.8,11.7,159.5,77.0,15.6,69.66,18.94
2022-05-20 06:00:00,2022,5,20,6,4,0,-130.2,21.5,151.7,76.51,25.01,70.54,22.22
2022-05-20 06:05:00,2022,5,20,6,9,0,-133.2,16.5,149.7,77.0,15.6,70.54,22.22
2022-05-20 06:10:00,2022,5,20,6,14,0,-105.7,6.9,112.6,78.2,15.82,70.54,22.22
2022-05-20 06:15:00,2022,5,20,6,19,0,-107.6,15.8,123.4,76.51,25.01,69.46,23.7
2022-05-20 06:20:00,2022,5,20,6,24,0,-87.9,18.0,105.9,78.2,15.82,70.93,51.3
2022-05-20 06:25:00,2022,5,20,6,29,0,-160.2,12.0,172.2,77.0,15.6,71.09,25.79
2022-05-20 06:30:00,2022,5,20,6,34,0,-141.0,21.2,162.2,77.0,15.6,70.54,22.22
2022-05-20 06:35:00,2022,5,20,6,39,0,-127.6,26.4,154.0,76.51,25.01,70.54,22.22
2022-05-20 06:40:00,2022,5,20,6,44,0,-108.5,38.8,147.3,78.2,15.82,65.6,22.83
2022-05-20 06:45:00,2022,5,20,6,49,0,-109.3,33.0,142.3,78.2,15.82,65.6,22.83
2022-05-20 06:50:00,2022,5,20,6,54,0,-101.2,38.9,140.1,78.2,15.82,65.6,22.83
2022-05-20 06:55:00,2022,5,20,6,59,0,-120.7,55.8,176.5,78.2,15.82,65.6,22.83
2022-05-20 07:00:00,2022,5,20,7,4,0,-108.9,57.2,166.1,78.2,15.82,65.6,22.83
2022-05-20 07:05:00,2022,5,20,7,9,0,-119.6,61.9,181.5,78.2,15.82,65.6,22.83
2022-05-20 07:10:00,2022,5,20,7,14,0,-104.1,67.6,171.7,78.2,15.82,65.6,22.83
2022-05-20 07:15:00,2022,5,20,7,19,0,-94.1,76.3,170.4,78.2,15.82,65.6,22.83
2022-05-20 07:20:00,2022,5,20,7,24,0,-75.7,74.5,150.2,78.2,15.82,65.6,22.83
2022-05-20 07:25:00,2022,5,20,7,29,0,-104.0,63.1,167.1,78.2,15.82,65.6,22.83
2022-05-20 07:30:00,2022,5,20,7,34,0,-101.0,52.0,153.0,78.2,15.82,65.6,22.83
2022-05-20 07:35:00,2022,5,20,7,39,0,-100.0,44.8,144.8,78.2,15.82,65.6,22.83
2022-05-20 07:40:00,2022,5,20,7,44,0,-46.2,49.7,95.9,76.51,25.01,65.6,22.83
2022-05-20 07:45:00,2022,5,20,7,49,0,-77.6,36.6,114.2,78.2,15.82,65.6,22.83
2022-05-20 07:50:00,2022,5,20,7,54,0,-76.0,41.5,117.5,77.0,15.6,65.6,22.83
2022-05-20 07:55:00,2022,5,20,7,59,0,-121.9,48.4,170.3,78.2,15.82,65.6,22.83
2022-05-20 08:00:00,2022,5,20,8,4,0,-108.8,53.8,162.6,78.2,15.82,65.6,22.83
2022-05-20 08:05:00,2022,5,20,8,9,0,-143.4,44.4,187.8,78.2,15.82,65.6,22.83
2022-05-20 08:10:00,2022,5,20,8,14,0,-128.6,32.7,161.3,77.0,15.6,65.6,22.83
2022-05-20 08:15:00,2022,5,20,8,19,0,-109.2,53.3,162.5,77.0,15.6,65.6,22.83
2022-05-20 08:20:00,2022,5,20,8,24,0,-93.9,30.3,124.2,77.0,15.6,78.92,11.95
2022-05-20 08:25:00,2022,5,20,8,29,0,-60.7,10.0,70.7,78.2,15.82,65.6,22.83
2022-05-20 08:30:00,2022,5,20,8,34,0,-52.0,-3.7,48.3,77.0,15.6,52.07,12.68
2022-05-20 08:35:00,2022,5,20,8,39,0,-34.4,57.8,92.2,62.25,26.6,78.92,11.95
2022-05-20 08:40:00,2022,5,20,8,44,0,-73.4,13.9,87.3,78.2,15.82,71.09,25.79
2022-05-20 08:45:00,2022,5,20,8,49,0,-93.0,8.7,101.7,78.2,15.82,71.09,25.79
2022-05-20 08:50:00,2022,5,20,8,54,0,-49.1,86.0,135.1,64.61,18.75,77.0,15.6
2022-05-20 08:55:00,2022,5,20,8,59,0,-56.3,120.9,177.2,64.61,18.75,77.0,15.6
2022-05-20 09:00:00,2022,5,20,9,4,0,-75.3,145.4,220.7,70.93,51.3,78.2,15.82
2022-05-20 09:05:00,2022,5,20,9,9,0,-71.3,120.2,191.5,70.93,51.3,78.92,11.95
2022-05-20 09:10:00,2022,5,20,9,14,0,-70.4,72.1,142.5,70.93,51.3,76.51,25.01
2022-05-20 09:15:00,2022,5,20,9,19,0,-64.2,86.0,150.2,70.93,51.3,77.0,15.6
2022-05-20 09:20:00,2022,5,20,9,24,0,-88.7,48.0,136.7,70.93,51.3,78.92,11.95
