date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2022-03-19 00:00:00,2022,3,19,0,4,0,-75.2,67.6,142.8,71.09,25.79,65.6,22.83
2022-03-19 00:05:00,2022,3,19,0,9,0,-67.5,70.5,138.0,71.09,25.79,65.6,22.83
2022-03-19 00:10:00,2022,3,19,0,14,0,-81.7,73.1,154.8,71.09,25.79,65.6,22.83
2022-03-19 00:15:00,2022,3,19,0,19,0,-81.3,55.3,136.6,71.09,25.79,65.6,22.83
2022-03-19 00:20:00,2022,3,19,0,24,0,-93.7,50.3,144.0,71.09,25.79,65.6,22.83
2022-03-19 00:25:00,2022,3,19,0,29,0,-101.4,78.4,179.8,71.09,25.79,65.6,22.83
2022-03-19 00:30:00,2022,3,19,0,34,0,-78.0,55.0,133.0,71.09,25.79,65.6,22.83
2022-03-19 00:35:00,2022,3,19,0,39,0,-56.3,57.4,113.7,71.09,25.79,65.6,22.83
2022-03-19 00:40:00,2022,3,19,0,44,0,-41.6,63.8,105.4,71.09,25.79,65.6,22.83
2022-03-19 00:45:00,2022,3,19,0,49,0,-35.5,58.7,94.2,71.09,25.79,65.6,22.83
2022-03-19 00:50:00,2022,3,19,0,54,0,-22.6,38.0,60.6,71.09,25.79,65.6,22.83
2022-03-19 00:55:00,2022,3,19,0,59,0,-21.2,38.6,59.8,70.93,51.3,65.6,22.83
2022-03-19 01:00:00,2022,3,19,1,4,0,-10.9,53.4,64.3,71.09,25.79,65.6,22.83
2022-03-19 01:05:00,2022,3,19,1,9,0,-9.6,22.7,32.3,70.93,51.3,76.51,25.01
2022-03-19 01:10:00,2022,3,19,1,14,0,-6.2,27.9,34.1,71.09,25.79,65.6,22.83
2022-03-19 01:15:00,2022,3,19,1,19,0,-11.7,16.7,28.4,70.93,51.3,65.6,22.83
2022-03-19 01:20:00,2022,3,19,1,24,0,-4.7,29.2,33.9,54.01,23.18,76.51,25.01
2022-03-19 01:25:00,2022,3,19,1,29,0,-4.6,17.9,22.5,54.01,23.18,76.51,25.01
2022-03-19 01:30:00,2022,3,19,1,34,0,-5.0,29.6,34.6,54.01,23.18,76.51,25.01
2022-03-19 01:35:00,2022,3,19,1,39,0,-4.6,33.2,37.8,54.01,23.18,76.51,25.01
2022-03-19 01:40:00,2022,3,19,1,44,0,-4.5,21.0,25.5,54.61,18.82,76.51,25.01
2022-03-19 01:45:00,2022,3,19,1,49,0,-4.4,19.7,24.1,54.61,18.82,76.51,25.01
2022-03-19 01:50:00,2022,3,19,1,54,0,-3.9,20.2,24.1,54.01,23.18,76.51,25.01
2022-03-19 01:55:00,2022,3,19,1,59,0,-3.7,22.5,26.2,54.01,23.18,76.51,25.01
2022-03-19 02:00:00,2022,3,19,2,4,0,-3.7,17.8,21.5,54.01,23.18,76.51,25.01
2022-03-19 02:05:00,2022,3,19,2,9,0,-3.1,22.2,25.3,54.01,23.18,76.51,25.01
2022-03-19 02:10:00,2022,3,19,2,14,0,-3.0,19.5,22.5,54.01,23.18,76.51,25.01
2022-03-19 02:15:00,2022,3,19,2,19,0,-2.6,13.5,16.1,54.01,23.18,76.51,25.01
2022-03-19 02:20:00,2022,3,19,2,24,0,-3.1,14.5,17.6,78.92,11.95,65.6,22.83
2022-03-19 02:25:00,2022,3,19,2,29,0,-1.4,15.7,17.1,54.01,23.18,76.51,25.01
2022-03-19 02:30:00,2022,3,19,2,34,0,-1.3,12.5,13.8,54.01,23.18,76.51,25.01
2022-03-19 02:35:00,2022,3,19,2,39,0,-2.6,8.3,10.9,78.92,11.95,65.6,22.83
2022-03-19 02:40:00,2022,3,19,2,44,0,-2.4,9.3,11.7,78.92,11.95,76.51,25.01
2022-03-19 02:45:00,2022,3,19,2,49,0,-4.7,4.9,9.6,78.92,11.95,65.6,22.83
2022-03-19 02:50:00,2022,3,19,2,54,0,-4.8,5.6,10.4,74.5,19.2,65.6,22.83
2022-03-19 02:55:00,2022,3,19,2,59,0,-3.8,6.5,10.3,78.92,11.95,65.6,22.83
2022-03-19 03:00:00,2022,3,19,3,4,0,-4.5,8.6,13.1,78.92,11.95,76.51,25.01
2022-03-19 03:05:00,2022,3,19,3,9,0,-4.2,12.7,16.9,78.92,11.95,76.51,25.01
2022-03-19 03:10:00,2022,3,19,3,14,0,-2.2,7.1,9.3,78.92,11.95,77.0,15.6
2022-03-19 03:15:00,2022,3,19,3,19,0,-0.9,15.2,16.1,69.46,23.7,76.51,25.01
2022-03-19 03:20:00,2022,3,19,3,24,0,-2.1,13.5,15.6,69.3,16.03,77.0,15.6
2022-03-19 03:25:00,2022,3,19,3,29,0,-8.0,4.5,12.5,76.51,25.01,65.6,22.83
2022-03-19 03:30:00,2022,3,19,3,34,0,-4.8,9.9,14.7,69.76,27.01,76.51,25.01
2022-03-19 03:35:00,2022,3,19,3,39,0,0.7,12.6,11.9,78.92,11.95,76.51,25.01
2022-03-19 03:40:00,2022,3,19,3,44,0,0.3,8.1,7.8,65.6,22.83,76.51,25.01
2022-03-19 03:45:00,2022,3,19,3,49,0,0.0,8.1,8.1,70.93,51.3,78.2,15.82
2022-03-19 03:50:00,2022,3,19,3,54,0,-10.8,5.6,16.4,76.51,25.01,78.92,11.95
2022-03-19 03:55:00,2022,3,19,3,59,0,-11.6,2.2,13.8,76.51,25.01,69.46,23.7
2022-03-19 04:00:00,2022,3,19,4,4,0,-9.9,1.8,11.7,65.6,22.83,54.01,23.18
2022-03-19 04:05:00,2022,3,19,4,9,0,-20.7,1.8,22.5,76.51,25.01,54.01,23.18
2022-03-19 04:10:00,2022,3,19,4,14,0,-16.8,1.6,18.4,65.6,22.83,54.01,23.18
2022-03-19 04:15:00,2022,3,19,4,19,0,-21.3,1.5,22.8,76.51,25.01,61.54,53.21
2022-03-19 04:20:00,2022,3,19,4,24,0,-19.6,1.0,20.6,70.93,51.3,54.01,23.18
2022-03-19 04:25:00,2022,3,19,4,29,0,-24.6,0.9,25.5,76.51,25.01,54.01,23.18
2022-03-19 04:30:00,2022,3,19,4,34,0,-30.8,1.3,32.1,76.51,25.01,54.01,23.18
2022-03-19 04:35:00,2022,3,19,4,39,0,-18.4,1.4,19.8,65.6,22.83,54.01,23.18
2022-03-19 04:40:00,2022,3,19,4,44,0,-11.9,2.3,14.2,65.6,22.83,54.01,23.18
2022-03-19 04:45:00,2022,3,19,4,49,0,-10.4,8.6,19.0,65.6,22.83,78.92,11.95
2022-03-19 04:50:00,2022,3,19,4,54,0,-13.5,12.5,26.0,76.51,25.01,78.92,11.95
2022-03-19 04:55:00,2022,3,19,4,59,0,-16.8,8.3,25.1,76.51,25.01,78.92,11.95
