date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2023-09-21 00:00:00,2023,9,21,0,4,0,-110.7,93.9,204.6,64.95,10.99,70.51,38.03
2023-09-21 00:05:00,2023,9,21,0,9,0,-91.2,92.7,183.9,64.95,10.99,70.51,38.03
2023-09-21 00:10:00,2023,9,21,0,14,0,-97.9,87.8,185.7,66.4,16.98,70.51,38.03
2023-09-21 00:15:00,2023,9,21,0,19,0,-105.1,74.7,179.8,66.11,12.5,71.09,25.79
2023-09-21 00:20:00,2023,9,21,0,24,0,-117.6,59.7,177.3,66.11,12.5,70.51,38.03
2023-09-21 00:25:00,2023,9,21,0,29,0,-102.4,58.8,161.2,66.11,12.5,70.51,38.03
2023-09-21 00:30:00,2023,9,21,0,34,0,-91.5,67.8,159.3,66.11,12.5,70.51,38.03
2023-09-21 00:35:00,2023,9,21,0,39,0,-82.7,72.1,154.8,66.11,12.5,70.93,51.3
2023-09-21 00:40:00,2023,9,21,0,44,0,-106.6,64.4,171.0,67.52,12.09,70.93,51.3
2023-09-21 00:45:00,2023,9,21,0,49,0,-98.7,54.8,153.5,67.52,12.09,70.93,51.3
2023-09-21 00:50:00,2023,9,21,0,54,0,-75.8,47.2,123.0,67.52,12.09,74.5,19.2
2023-09-21 00:55:00,2023,9,21,0,59,0,-52.7,50.7,103.4,67.52,12.09,70.93,51.3
2023-09-21 01:00:00,2023,9,21,1,4,0,-40.9,59.8,100.7,67.52,12.09,70.51,38.03
2023-09-21 01:05:00,2023,9,21,1,9,0,-37.4,62.5,99.9,67.52,12.09,70.51,38.03
2023-09-21 01:10:00,2023,9,21,1,14,0,-45.4,51.7,97.1,67.52,12.09,70.51,38.03
2023-09-21 01:15:00,2023,9,21,1,19,0,-38.5,46.9,85.4,69.3,16.03,70.51,38.03
2023-09-21 01:20:00,2023,9,21,1,24,0,-29.8,42.8,72.6,69.3,16.03,70.51,38.03
2023-09-21 01:25:00,2023,9,21,1,29,0,-6.9,43.1,50.0,69.3,16.03,74.5,19.2
2023-09-21 01:30:00,2023,9,21,1,34,0,6.5,44.2,37.7,78.92,11.95,64.61,18.75
2023-09-21 01:35:00,2023,9,21,1,39,0,6.0,42.6,36.6,78.92,11.95,70.51,38.03
2023-09-21 01:40:00,2023,9,21,1,44,0,0.6,48.1,47.5,78.92,11.95,68.56,27.29
2023-09-21 01:45:00,2023,9,21,1,49,0,1.6,43.3,41.7,78.92,11.95,68.56,27.29
2023-09-21 01:50:00,2023,9,21,1,54,0,0.0,47.4,47.4,78.92,11.95,68.56,27.29
2023-09-21 01:55:00,2023,9,21,1,59,0,0.5,51.3,50.8,78.92,11.95,68.56,27.29
2023-09-21 02:00:00,2023,9,21,2,4,0,-1.5,54.8,56.3,78.92,11.95,68.56,27.29
