date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2022-11-18 00:00:00,2022,11,18,0,4,0,-67.3,65.5,132.8,70.93,51.3,65.6,22.83
2022-11-18 00:05:00,2022,11,18,0,9,0,-65.7,43.7,109.4,70.51,38.03,65.6,22.83
2022-11-18 00:10:00,2022,11,18,0,14,0,-99.5,56.8,156.3,70.93,51.3,65.6,22.83
2022-11-18 00:15:00,2022,11,18,0,19,0,-63.5,55.2,118.7,70.93,51.3,65.6,22.83
2022-11-18 00:20:00,2022,11,18,0,24,0,-94.5,47.7,142.2,70.93,51.3,65.6,22.83
2022-11-18 00:25:00,2022,11,18,0,29,0,-70.9,47.1,118.0,70.51,38.03,65.6,22.83
2022-11-18 00:30:00,2022,11,18,0,34,0,-56.7,34.4,91.1,74.5,19.2,65.6,22.83
2022-11-18 00:35:00,2022,11,18,0,39,0,-57.9,29.1,87.0,74.5,19.2,65.6,22.83
2022-11-18 00:40:00,2022,11,18,0,44,0,-37.7,23.8,61.5,74.5,19.2,65.6,22.83
2022-11-18 00:45:00,2022,11,18,0,49,0,-34.0,21.6,55.6,74.5,19.2,65.6,22.83
2022-11-18 00:50:00,2022,11,18,0,54,0,-34.6,19.1,53.7,74.5,19.2,65.6,22.83
2022-11-18 00:55:00,2022,11,18,0,59,0,-42.3,16.5,58.8,70.51,38.03,78.92,11.95
2022-11-18 01:00:00,2022,11,18,1,4,0,-31.1,16.6,47.7,74.5,19.2,78.92,11.95
2022-11-18 01:05:00,2022,11,18,1,9,0,-52.3,9.5,61.8,76.51,25.01,78.92,11.95
2022-11-18 01:10:00,2022,11,18,1,14,0,-29.1,12.8,41.9,76.51,25.01,70.51,38.03
2022-11-18 01:15:00,2022,11,18,1,19,0,-33.1,9.9,43.0,76.51,25.01,70.51,38.03
2022-11-18 01:20:00,2022,11,18,1,24,0,-22.8,11.8,34.6,76.51,25.01,65.6,22.83
2022-11-18 01:25:00,2022,11,18,1,29,0,-17.4,15.3,32.7,74.5,19.2,65.6,22.83
2022-11-18 01:30:00,2022,11,18,1,34,0,-20.7,13.8,34.5,74.5,19.2,70.51,38.03
2022-11-18 01:35:00,2022,11,18,1,39,0,-20.1,10.4,30.5,77.0,15.6,65.6,22.83
2022-11-18 01:40:00,2022,11,18,1,44,0,-19.3,15.6,34.9,77.0,15.6,70.51,38.03
2022-11-18 01:45:00,2022,11,18,1,49,0,-11.9,25.7,37.6,74.5,19.2,70.51,38.03
2022-11-18 01:50:00,2022,11,18,1,54,0,-12.9,19.3,32.2,74.5,19.2,70.51,38.03
2022-11-18 01:55:00,2022,11,18,1,59,0,-5.7,7.0,12.7,74.5,19.2,71.09,25.79
2022-11-18 02:00:00,2022,11,18,2,4,0,-19.0,2.9,21.9,70.93,51.3,78.92,11.95
2022-11-18 02:05:00,2022,11,18,2,9,0,-11.9,2.5,14.4,70.93,51.3,78.92,11.95
2022-11-18 02:10:00,2022,11,18,2,14,0,-15.1,1.9,17.0,70.93,51.3,61.54,53.21
2022-11-18 02:15:00,2022,11,18,2,19,0,-16.1,5.4,21.5,70.93,51.3,65.6,22.83
2022-11-18 02:20:00,2022,11,18,2,24,0,-8.4,3.8,12.2,77.0,15.6,70.51,38.03
2022-11-18 02:25:00,2022,11,18,2,29,0,-9.4,3.2,12.6,74.5,19.2,65.6,22.83
2022-11-18 02:30:00,2022,11,18,2,34,0,-6.1,6.3,12.4,70.51,38.03,65.6,22.83
2022-11-18 02:35:00,2022,11,18,2,39,0,-11.3,4.1,15.4,70.93,51.3,65.6,22.83
2022-11-18 02:40:00,2022,11,18,2,44,0,-7.6,3.4,11.0,77.0,15.6,65.6,22.83
2022-11-18 02:45:00,2022,11,18,2,49,0,-9.3,4.2,13.5,70.51,38.03,65.6,22.83
2022-11-18 02:50:00,2022,11,18,2,54,0,-7.3,6.0,13.3,70.93,51.3,78.92,11.95
