date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2022-01-30 00:00:00,2022,1,30,0,4,0,-123.1,52.5,175.6,71.09,25.79,78.92,11.95
2022-01-30 00:05:00,2022,1,30,0,9,0,-119.4,56.5,175.9,71.09,25.79,78.92,11.95
2022-01-30 00:10:00,2022,1,30,0,14,0,-120.3,51.5,171.8,71.09,25.79,78.92,11.95
2022-01-30 00:15:00,2022,1,30,0,19,0,-115.9,49.8,165.7,71.09,25.79,78.92,11.95
2022-01-30 00:20:00,2022,1,30,0,24,0,-118.6,50.0,168.6,65.6,22.83,78.92,11.95
2022-01-30 00:25:00,2022,1,30,0,29,0,-186.9,46.5,233.4,65.6,22.83,78.92,11.95
2022-01-30 00:30:00,2022,1,30,0,34,0,-185.5,42.5,228.0,70.93,51.3,78.92,11.95
2022-01-30 00:35:00,2022,1,30,0,39,0,-246.6,33.9,280.5,70.93,51.3,78.92,11.95
2022-01-30 00:40:00,2022,1,30,0,44,0,-248.3,37.8,286.1,70.93,51.3,78.92,11.95
2022-01-30 00:45:00,2022,1,30,0,49,0,-276.9,52.4,329.3,70.93,51.3,78.92,11.95
2022-01-30 00:50:00,2022,1,30,0,54,0,-276.3,61.1,337.4,70.93,51.3,78.92,11.95
2022-01-30 00:55:00,2022,1,30,0,59,0,-242.0,62.9,304.9,70.93,51.3,78.92,11.95
2022-01-30 01:00:00,2022,1,30,1,4,0,-182.1,62.1,244.2,70.93,51.3,78.92,11.95
2022-01-30 01:05:00,2022,1,30,1,9,0,-157.1,54.9,212.0,70.93,51.3,78.92,11.95
2022-01-30 01:10:00,2022,1,30,1,14,0,-142.2,53.4,195.6,70.93,51.3,78.92,11.95
2022-01-30 01:15:00,2022,1,30,1,19,0,-123.2,45.5,168.7,70.93,51.3,78.92,11.95
2022-01-30 01:20:00,2022,1,30,1,24,0,-135.0,48.5,183.5,70.93,51.3,78.92,11.95
2022-01-30 01:25:00,2022,1,30,1,29,0,-136.4,54.9,191.3,70.93,51.3,78.92,11.95
2022-01-30 01:30:00,2022,1,30,1,34,0,-128.5,50.7,179.2,70.93,51.3,78.92,11.95
2022-01-30 01:35:00,2022,1,30,1,39,0,-135.4,51.7,187.1,70.93,51.3,78.92,11.95
2022-01-30 01:40:00,2022,1,30,1,44,0,-150.3,49.8,200.1,70.93,51.3,78.92,11.95
2022-01-30 01:45:00,2022,1,30,1,49,0,-141.2,41.2,182.4,70.93,51.3,78.92,11.95
2022-01-30 01:50:00,2022,1,30,1,54,0,-160.2,50.2,210.4,70.93,51.3,78.92,11.95
2022-01-30 01:55:00,2022,1,30,1,59,0,-159.8,53.8,213.6,70.93,51.3,78.92,11.95
2022-01-30 02:00:00,2022,1,30,2,4,0,-166.3,50.4,216.7,70.93,51.3,78.92,11.95
2022-01-30 02:05:00,2022,1,30,2,9,0,-152.5,56.6,209.1,70.93,51.3,78.92,11.95
2022-01-30 02:10:00,2022,1,30,2,14,0,-134.6,49.7,184.3,70.93,51.3,78.92,11.95
2022-01-30 02:15:00,2022,1,30,2,19,0,-142.1,52.1,194.2,70.93,51.3,78.92,11.95
2022-01-30 02:20:00,2022,1,30,2,24,0,-139.9,49.2,189.1,70.93,51.3,78.92,11.95
2022-01-30 02:25:00,2022,1,30,2,29,0,-137.1,48.6,185.7,70.93,51.3,78.92,11.95
2022-01-30 02:30:00,2022,1,30,2,34,0,-143.1,47.8,190.9,70.93,51.3,78.92,11.95
2022-01-30 02:35:00,2022,1,30,2,39,0,-134.8,47.4,182.2,70.93,51.3,78.92,11.95
2022-01-30 02:40:00,2022,1,30,2,44,0,-101.3,41.4,142.7,70.93,51.3,78.92,11.95
2022-01-30 02:45:00,2022,1,30,2,49,0,-85.9,41.1,127.0,65.6,22.83,78.92,11.95
2022-01-30 02:50:00,2022,1,30,2,54,0,-92.9,36.1,129.0,74.5,19.2,78.92,11.95
2022-01-30 02:55:00,2022,1,30,2,59,0,-90.5,38.4,128.9,65.6,22.83,78.92,11.95
2022-01-30 03:00:00,2022,1,30,3,4,0,-100.9,32.6,133.5,74.5,19.2,78.92,11.95
2022-01-30 03:05:00,2022,1,30,3,9,0,-100.3,38.8,139.1,65.6,22.83,78.92,11.95
2022-01-30 03:10:00,2022,1,30,3,14,0,-107.1,35.5,142.6,65.6,22.83,78.92,11.95
2022-01-30 03:15:00,2022,1,30,3,19,0,-111.9,34.2,146.1,65.6,22.83,78.92,11.95
2022-01-30 03:20:00,2022,1,30,3,24,0,-135.0,36.1,171.1,65.6,22.83,78.92,11.95
2022-01-30 03:25:00,2022,1,30,3,29,0,-168.4,44.2,212.6,65.6,22.83,78.92,11.95
2022-01-30 03:30:00,2022,1,30,3,34,0,-142.6,39.4,182.0,65.6,22.83,78.92,11.95
2022-01-30 03:35:00,2022,1,30,3,39,0,-154.6,50.3,204.9,65.6,22.83,78.92,11.95
2022-01-30 03:40:00,2022,1,30,3,44,0,-170.3,46.9,217.2,65.6,22.83,78.92,11.95
2022-01-30 03:45:00,2022,1,30,3,49,0,-148.5,52.0,200.5,65.6,22.83,78.92,11.95
2022-01-30 03:50:00,2022,1,30,3,54,0,-121.7,50.0,171.7,65.6,22.83,78.92,11.95
2022-01-30 03:55:00,2022,1,30,3,59,0,-121.1,40.0,161.1,65.6,22.83,78.92,11.95
2022-01-30 04:00:00,2022,1,30,4,4,0,-96.7,34.8,131.5,65.6,22.83,78.92,11.95
2022-01-30 04:05:00,2022,1,30,4,9,0,-98.2,35.1,133.3,65.6,22.83,78.92,11.95
2022-01-30 04:10:00,2022,1,30,4,14,0,-120.2,36.7,156.9,65.6,22.83,78.92,11.95
2022-01-30 04:15:00,2022,1,30,4,19,0,-141.2,46.7,187.9,65.6,22.83,78.92,11.95
2022-01-30 04:20:00,2022,1,30,4,24,0,-162.0,46.5,208.5,65.6,22.83,78.92,11.95
2022-01-30 04:25:00,2022,1,30,4,29,0,-179.8,31.9,211.7,65.6,22.83,78.92,11.95
2022-01-30 04:30:00,2022,1,30,4,34,0,-223.4,52.3,275.7,65.6,22.83,78.92,11.95
2022-01-30 04:35:00,2022,1,30,4,39,0,-241.8,50.3,292.1,65.6,22.83,78.92,11.95
2022-01-30 04:40:00,2022,1,30,4,44,0,-260.2,45.4,305.6,65.6,22.83,78.92,11.95
2022-01-30 04:45:00,2022,1,30,4,49,0,-255.4,30.6,286.0,65.6,22.83,78.92,11.95
2022-01-30 04:50:00,2022,1,30,4,54,0,-291.7,34.3,326.0,70.93,51.3,78.92,11.95
2022-01-30 04:55:00,2022,1,30,4,59,0,-279.1,42.7,321.8,70.93,51.3,78.92,11.95
2022-01-30 05:00:00,2022,1,30,5,4,0,-257.3,41.1,298.4,70.93,51.3,78.92,11.95
2022-01-30 05:05:00,2022,1,30,5,9,0,-245.1,42.9,288.0,65.6,22.83,78.92,11.95
2022-01-30 05:10:00,2022,1,30,5,14,0,-241.7,52.3,294.0,70.93,51.3,78.92,11.95
2022-01-30 05:15:00,2022,1,30,5,19,0,-260.3,43.2,303.5,74.5,19.2,78.92,11.95
2022-01-30 05:20:00,2022,1,30,5,24,0,-254.5,33.5,288.0,74.5,19.2,78.92,11.95
2022-01-30 05:25:00,2022,1,30,5,29,0,-230.1,36.6,266.7,70.93,51.3,78.92,11.95
2022-01-30 05:30:00,2022,1,30,5,34,0,-224.2,53.6,277.8,70.93,51.3,78.92,11.95
2022-01-30 05:35:00,2022,1,30,5,39,0,-185.5,48.1,233.6,65.6,22.83,78.92,11.95
2022-01-30 05:40:00,2022,1,30,5,44,0,-177.9,56.4,234.3,74.5,19.2,78.92,11.95
2022-01-30 05:45:00,2022,1,30,5,49,0,-191.3,55.8,247.1,74.5,19.2,78.92,11.95
2022-01-30 05:50:00,2022,1,30,5,54,0,-173.4,60.5,233.9,65.6,22.83,78.92,11.95
2022-01-30 05:55:00,2022,1,30,5,59,0,-179.2,60.9,240.1,65.6,22.83,78.92,11.95
