date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2022-03-15 00:00:00,2022,3,15,0,4,0,1.0,44.6,43.6,78.92,11.95,70.93,51.3
2022-03-15 00:05:00,2022,3,15,0,9,0,4.1,37.7,33.6,64.95,10.99,70.93,51.3
2022-03-15 00:10:00,2022,3,15,0,14,0,-22.9,54.3,77.2,78.92,11.95,70.93,51.3
2022-03-15 00:15:00,2022,3,15,0,19,0,-16.2,46.9,63.1,78.92,11.95,70.93,51.3
2022-03-15 00:20:00,2022,3,15,0,24,0,-12.0,24.5,36.5,78.2,15.82,65.6,22.83
2022-03-15 00:25:00,2022,3,15,0,29,0,-12.1,29.6,41.7,78.2,15.82,65.6,22.83
2022-03-15 00:30:00,2022,3,15,0,34,0,-26.7,35.7,62.4,78.92,11.95,70.93,51.3
2022-03-15 00:35:00,2022,3,15,0,39,0,-20.8,42.4,63.2,78.2,15.82,70.93,51.3
2022-03-15 00:40:00,2022,3,15,0,44,0,-10.0,22.5,32.5,78.2,15.82,65.6,22.83
2022-03-15 00:45:00,2022,3,15,0,49,0,-11.5,25.3,36.8,77.0,15.6,65.6,22.83
2022-03-15 00:50:00,2022,3,15,0,54,0,-11.1,28.5,39.6,78.92,11.95,70.93,51.3
2022-03-15 00:55:00,2022,3,15,0,59,0,-5.7,30.2,35.9,78.92,11.95,65.6,22.83
2022-03-15 01:00:00,2022,3,15,1,4,0,-9.5,28.1,37.6,78.92,11.95,65.6,22.83
2022-03-15 01:05:00,2022,3,15,1,9,0,2.0,30.9,28.9,61.54,53.21,70.93,51.3
2022-03-15 01:10:00,2022,3,15,1,14,0,3.7,37.1,33.4,78.92,11.95,65.6,22.83
2022-03-15 01:15:00,2022,3,15,1,19,0,-3.1,43.6,46.7,78.92,11.95,74.5,19.2
2022-03-15 01:20:00,2022,3,15,1,24,0,-8.6,56.3,64.9,78.92,11.95,74.5,19.2
2022-03-15 01:25:00,2022,3,15,1,29,0,-36.3,60.6,96.9,78.92,11.95,74.5,19.2
