date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2024-01-16 00:00:00,2024,1,16,0,4,0,-153.3,99.3,252.6,68.02,23.53,64.21,38.3
2024-01-16 00:05:00,2024,1,16,0,9,0,-151.0,79.9,230.9,68.02,23.53,64.21,38.3
2024-01-16 00:10:00,2024,1,16,0,14,0,-138.1,68.2,206.3,68.02,23.53,64.21,38.3
2024-01-16 00:15:00,2024,1,16,0,19,0,-152.3,71.9,224.2,69.46,23.7,64.21,38.3
2024-01-16 00:20:00,2024,1,16,0,24,0,-160.5,65.2,225.7,68.02,23.53,64.21,38.3
2024-01-16 00:25:00,2024,1,16,0,29,0,-169.9,39.8,209.7,68.02,23.53,64.21,38.3
2024-01-16 00:30:00,2024,1,16,0,34,0,-167.2,23.2,190.4,69.02,20.79,78.92,11.95
2024-01-16 00:35:00,2024,1,16,0,39,0,-145.3,40.8,186.1,68.35,18.82,64.21,38.3
2024-01-16 00:40:00,2024,1,16,0,44,0,-118.6,30.3,148.9,68.35,18.82,78.92,11.95
2024-01-16 00:45:00,2024,1,16,0,49,0,-140.6,30.1,170.7,68.56,27.29,78.92,11.95
2024-01-16 00:50:00,2024,1,16,0,54,0,-270.4,31.3,301.7,70.54,22.22,64.21,38.3
2024-01-16 00:55:00,2024,1,16,0,59,0,-286.9,26.3,313.2,69.66,18.94,78.92,11.95
2024-01-16 01:00:00,2024,1,16,1,4,0,-228.3,26.3,254.6,69.76,27.01,78.92,11.95
2024-01-16 01:05:00,2024,1,16,1,9,0,-192.8,36.3,229.1,69.66,18.94,64.21,38.3
2024-01-16 01:10:00,2024,1,16,1,14,0,-172.0,37.4,209.4,69.76,27.01,64.21,38.3
2024-01-16 01:15:00,2024,1,16,1,19,0,-238.6,39.8,278.4,69.66,18.94,64.21,38.3
2024-01-16 01:20:00,2024,1,16,1,24,0,-212.5,27.9,240.4,69.3,16.03,64.21,38.3
2024-01-16 01:25:00,2024,1,16,1,29,0,-173.1,35.7,208.8,69.3,16.03,64.21,38.3
2024-01-16 01:30:00,2024,1,16,1,34,0,-189.0,56.0,245.0,69.76,27.01,66.11,12.5
2024-01-16 01:35:00,2024,1,16,1,39,0,-215.4,43.8,259.2,68.56,27.29,64.95,10.99
2024-01-16 01:40:00,2024,1,16,1,44,0,-240.5,29.9,270.4,70.54,22.22,78.92,11.95
2024-01-16 01:45:00,2024,1,16,1,49,0,-219.1,27.5,246.6,71.09,25.79,78.92,11.95
2024-01-16 01:50:00,2024,1,16,1,54,0,-265.5,35.8,301.3,74.5,19.2,78.92,11.95
2024-01-16 01:55:00,2024,1,16,1,59,0,-256.9,16.5,273.4,74.5,19.2,78.92,11.95
2024-01-16 02:00:00,2024,1,16,2,4,0,-191.1,24.5,215.6,74.5,19.2,64.21,38.3
