date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2024-03-04 00:00:00,2024,3,4,0,4,0,-314.5,77.9,392.4,68.02,23.53,78.92,11.95
2024-03-04 00:05:00,2024,3,4,0,9,0,-304.9,92.8,397.7,67.52,12.09,78.92,11.95
2024-03-04 00:10:00,2024,3,4,0,14,0,-332.2,93.5,425.7,67.52,12.09,78.92,11.95
2024-03-04 00:15:00,2024,3,4,0,19,0,-338.5,92.7,431.2,67.52,12.09,78.92,11.95
2024-03-04 00:20:00,2024,3,4,0,24,0,-318.7,94.4,413.1,69.66,18.94,78.92,11.95
2024-03-04 00:25:00,2024,3,4,0,29,0,-294.0,92.4,386.4,67.52,12.09,78.92,11.95
2024-03-04 00:30:00,2024,3,4,0,34,0,-391.0,111.8,502.8,69.66,18.94,78.92,11.95
2024-03-04 00:35:00,2024,3,4,0,39,0,-377.7,110.0,487.7,69.66,18.94,78.92,11.95
2024-03-04 00:40:00,2024,3,4,0,44,0,-351.5,87.3,438.8,68.02,23.53,78.92,11.95
2024-03-04 00:45:00,2024,3,4,0,49,0,-341.2,77.8,419.0,69.66,18.94,78.92,11.95
2024-03-04 00:50:00,2024,3,4,0,54,0,-345.0,63.2,408.2,70.54,22.22,78.92,11.95
2024-03-04 00:55:00,2024,3,4,0,59,0,-336.9,47.6,384.5,70.54,22.22,78.92,11.95
2024-03-04 01:00:00,2024,3,4,1,4,0,-281.0,22.6,303.6,71.09,25.79,78.92,11.95
2024-03-04 01:05:00,2024,3,4,1,9,0,-312.9,17.6,330.5,70.93,51.3,78.92,11.95
2024-03-04 01:10:00,2024,3,4,1,14,0,-242.9,31.6,274.5,70.93,51.3,78.92,11.95
2024-03-04 01:15:00,2024,3,4,1,19,0,-227.1,28.2,255.3,70.93,51.3,78.92,11.95
2024-03-04 01:20:00,2024,3,4,1,24,0,-163.0,29.1,192.1,70.54,22.22,78.92,11.95
2024-03-04 01:25:00,2024,3,4,1,29,0,-114.2,29.4,143.6,70.54,22.22,78.92,11.95
2024-03-04 01:30:00,2024,3,4,1,34,0,-86.1,25.7,111.8,70.93,51.3,78.92,11.95
2024-03-04 01:35:00,2024,3,4,1,39,0,-84.8,17.3,102.1,70.93,51.3,78.92,11.95
2024-03-04 01:40:00,2024,3,4,1,44,0,-66.5,7.4,73.9,70.93,51.3,78.92,11.95
2024-03-04 01:45:00,2024,3,4,1,49,0,-64.5,14.3,78.8,70.93,51.3,78.92,11.95
2024-03-04 01:50:00,2024,3,4,1,54,0,-37.3,14.2,51.5,64.21,38.3,64.61,18.75
2024-03-04 01:55:00,2024,3,4,1,59,0,-32.6,10.3,42.9,70.93,51.3,64.61,18.75
2024-03-04 02:00:00,2024,3,4,2,4,0,-31.6,13.2,44.8,70.93,51.3,64.61,18.75
2024-03-04 02:05:00,2024,3,4,2,9,0,-34.7,16.1,50.8,70.93,51.3,70.54,22.22
2024-03-04 02:10:00,2024,3,4,2,14,0,-23.5,18.9,42.4,70.93,51.3,76.51,25.01
2024-03-04 02:15:00,2024,3,4,2,19,0,-20.6,15.4,36.0,51.45,23.13,69.46,23.7
2024-03-04 02:20:00,2024,3,4,2,24,0,-19.3,23.6,42.9,51.45,23.13,66.9,24.08
2024-03-04 02:25:00,2024,3,4,2,29,0,-18.0,25.1,43.1,51.45,23.13,68.56,27.29
2024-03-04 02:30:00,2024,3,4,2,34,0,-16.9,31.0,47.9,51.45,23.13,68.56,27.29
2024-03-04 02:35:00,2024,3,4,2,39,0,-16.8,31.1,47.9,51.45,23.13,68.56,27.29
2024-03-04 02:40:00,2024,3,4,2,44,0,-18.1,21.9,40.0,51.45,23.13,68.56,27.29
2024-03-04 02:45:00,2024,3,4,2,49,0,-18.5,33.7,52.2,51.45,23.13,68.56,27.29
2024-03-04 02:50:00,2024,3,4,2,54,0,-17.2,24.3,41.5,51.45,23.13,68.56,27.29
2024-03-04 02:55:00,2024,3,4,2,59,0,-25.0,29.4,54.4,70.93,51.3,68.56,27.29
