date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2023-11-10 00:00:00,2023,11,10,0,4,0,-51.6,32.0,83.6,71.09,25.79,64.21,38.3
2023-11-10 00:05:00,2023,11,10,0,9,0,-41.7,30.4,72.1,69.76,27.01,77.0,15.6
2023-11-10 00:10:00,2023,11,10,0,14,0,-40.4,26.6,67.0,71.09,25.79,77.0,15.6
2023-11-10 00:15:00,2023,11,10,0,19,0,-46.8,34.1,80.9,69.66,18.94,78.92,11.95
2023-11-10 00:20:00,2023,11,10,0,24,0,-47.8,29.8,77.6,69.3,16.03,78.92,11.95
2023-11-10 00:25:00,2023,11,10,0,29,0,-52.7,32.4,85.1,69.3,16.03,78.92,11.95
2023-11-10 00:30:00,2023,11,10,0,34,0,-51.6,27.9,79.5,69.02,20.79,78.92,11.95
2023-11-10 00:35:00,2023,11,10,0,39,0,-29.4,31.9,61.3,70.93,51.3,78.92,11.95
2023-11-10 00:40:00,2023,11,10,0,44,0,-34.6,36.6,71.2,70.93,51.3,78.92,11.95
2023-11-10 00:45:00,2023,11,10,0,49,0,-29.5,47.1,76.6,69.76,27.01,76.51,25.01
2023-11-10 00:50:00,2023,11,10,0,54,0,-29.7,45.1,74.8,67.52,12.09,76.51,25.01
2023-11-10 00:55:00,2023,11,10,0,59,0,-44.8,55.1,99.9,67.52,12.09,76.51,25.01
2023-11-10 01:00:00,2023,11,10,1,4,0,-39.7,48.1,87.8,67.52,12.09,76.51,25.01
2023-11-10 01:05:00,2023,11,10,1,9,0,-33.1,36.3,69.4,67.52,12.09,78.2,15.82
2023-11-10 01:10:00,2023,11,10,1,14,0,-32.0,44.0,76.0,70.93,51.3,76.51,25.01
2023-11-10 01:15:00,2023,11,10,1,19,0,-61.9,35.4,97.3,70.93,51.3,76.51,25.01
2023-11-10 01:20:00,2023,11,10,1,24,0,-50.4,34.5,84.9,70.93,51.3,78.92,11.95
2023-11-10 01:25:00,2023,11,10,1,29,0,-55.1,47.7,102.8,70.93,51.3,76.51,25.01
2023-11-10 01:30:00,2023,11,10,1,34,0,-50.3,44.6,94.9,70.93,51.3,76.51,25.01
2023-11-10 01:35:00,2023,11,10,1,39,0,-52.4,39.9,92.3,64.21,38.3,76.51,25.01
