id,pubid,product,date,cvalue,activity,day
13835812,e65d6ba8-e9d6-48bb-92b0-5f4113617f37,gnss,2020-09-30 00:00:30,0.902,LOW,2020-09-30
13835815,1c0ba6f6-a28c-43d0-9108-d924095da8ec,gnss,2020-09-30 00:05:30,0.497,LOW,2020-09-30
13835818,27e9201d-eb87-4abc-8c51-4a6732a47397,gnss,2020-09-30 00:10:30,0.543,LOW,2020-09-30
13835821,612405df-4b20-4596-a4ed-19789a5b4455,gnss,2020-09-30 00:15:30,0.536,LOW,2020-09-30
13835832,3669351e-1f2c-422f-b53d-c32fa1418b06,gnss,2020-09-30 00:20:30,0.475,LOW,2020-09-30
13835844,fdce0f1c-f3f1-4d51-b94d-5bd7d77f2795,gnss,2020-09-30 00:25:30,0.434,LOW,2020-09-30
13835869,87afec38-a875-4800-bda2-76aea27bf8f9,gnss,2020-09-30 00:30:30,0.469,LOW,2020-09-30
13835885,7746b8cc-3acf-46a4-b225-d0ee399d9ef2,gnss,2020-09-30 00:35:30,0.467,LOW,2020-09-30
13835918,f4e46d8a-c121-404e-8693-76d0cfa775da,gnss,2020-09-30 00:40:30,0.464,LOW,2020-09-30
13835957,33c39a3b-4f4b-4def-b3ff-eaaf28701512,gnss,2020-09-30 00:45:30,0.459,LOW,2020-09-30
13836000,dd32c6f5-3e5e-4c3d-97d0-8cbebfab2f07,gnss,2020-09-30 00:50:30,0.386,LOW,2020-09-30
13836026,64bbb71b-e0b1-45a7-b603-2e2e7ace90f6,gnss,2020-09-30 00:55:30,0.335,LOW,2020-09-30
13836077,228f76a0-3f3f-4610-9f1e-d1b616c9d8d3,gnss,2020-09-30 01:00:30,0.483,LOW,2020-09-30
13836105,381d8863-00e1-4fe4-8320-7b1e647f5c46,gnss,2020-09-30 01:05:30,0.444,LOW,2020-09-30
13836164,3d6313bf-f227-4aea-b30c-3b982ab4932f,gnss,2020-09-30 01:10:30,0.453,LOW,2020-09-30
13836196,706420c2-6b93-40f3-8296-e97de8ae81b1,gnss,2020-09-30 01:15:30,0.336,LOW,2020-09-30
13836263,1ebccf6b-6190-4819-b04d-487476dd1b63,gnss,2020-09-30 01:20:30,0.362,LOW,2020-09-30
13836299,c0362a3c-00a2-4f30-9654-c778cb06c64f,gnss,2020-09-30 01:25:30,0.379,LOW,2020-09-30
13836373,8ca86972-cbf5-4abf-81bb-a451fee5f5fa,gnss,2020-09-30 01:30:30,0.389,LOW,2020-09-30
13836413,1f7a6962-23cd-4b07-a8b3-e3372ba78488,gnss,2020-09-30 01:35:30,0.397,LOW,2020-09-30
13836493,627a70ee-0382-4483-a3cd-1558c03dd1b5,gnss,2020-09-30 01:40:30,0.332,LOW,2020-09-30
13836537,7782be3d-944b-4466-9e8d-e3d2bcb7defc,gnss,2020-09-30 01:45:30,0.333,LOW,2020-09-30
13836627,393099fe-d162-4fc7-840e-5d8e171d7b6b,gnss,2020-09-30 01:50:30,0.396,LOW,2020-09-30
13836697,7c86f521-58c1-4fbb-b79f-7bbf96536e76,gnss,2020-09-30 01:55:30,0.402,LOW,2020-09-30
13836746,8102e154-6d0e-498e-aa08-31b77930485e,gnss,2020-09-30 02:00:30,0.585,LOW,2020-09-30
13836849,cd2eab6e-44af-4efc-af85-2c9082e068a1,gnss,2020-09-30 02:05:30,0.432,LOW,2020-09-30
13836955,d3c851aa-edf7-492a-9dc7-226d10be3a55,gnss,2020-09-30 02:10:30,0.467,LOW,2020-09-30
13837012,90ca3d11-150b-4c7d-bc71-97f7c184a56d,gnss,2020-09-30 02:15:30,0.462,LOW,2020-09-30
13837127,0632e108-4d58-49c1-b99b-78a386ba10ed,gnss,2020-09-30 02:20:30,0.461,LOW,2020-09-30
13837188,550428f1-7202-4415-9391-05a320c40fa9,gnss,2020-09-30 02:25:30,0.457,LOW,2020-09-30
13837311,00b53ebd-2aa4-4191-8c6d-d26dadd4b891,gnss,2020-09-30 02:30:30,0.491,LOW,2020-09-30
13837375,212deee5-0162-4e53-b105-a43bb024857b,gnss,2020-09-30 02:35:30,0.502,LOW,2020-09-30
13837505,0bee8d8b-d60d-4c74-9fac-3ced722301c7,gnss,2020-09-30 02:40:30,0.488,LOW,2020-09-30
