id,pubid,product,date,cvalue,activity,day
70279649,c09734ca-2fe2-490c-b986-76911e220b6c,gnss,2023-10-31 00:00:30,0.918,LOW,2023-10-31
70279654,5dc65005-8a59-4c9f-b45f-fbd1b5fd7988,gnss,2023-10-31 00:05:30,1.002,LOW,2023-10-31
70279657,f549f323-f570-4927-89bf-da7f18c83422,gnss,2023-10-31 00:10:30,1.068,LOW,2023-10-31
70279661,736ffdc7-1176-4f4d-a4e6-d27a0193fe59,gnss,2023-10-31 00:15:30,1.003,LOW,2023-10-31
70279680,eccbbfa8-9675-473a-a91b-4ba8a6433aef,gnss,2023-10-31 00:20:30,0.989,LOW,2023-10-31
70279683,28b43aa6-0884-479b-a493-6c196aebf6d4,gnss,2023-10-31 00:25:30,0.992,LOW,2023-10-31
70279697,dcf6f9ad-86e4-423f-90b1-f5d08b82410e,gnss,2023-10-31 00:30:30,0.998,LOW,2023-10-31
70279724,92eb3b4a-cbc1-4d0b-99e0-7c47e53cf9fb,gnss,2023-10-31 00:35:30,0.999,LOW,2023-10-31
70279727,a8ad889d-bec9-46a4-89fc-1c5b185a814d,gnss,2023-10-31 00:40:30,1.001,LOW,2023-10-31
70279748,c03331ed-e0d7-46de-8af3-be592ffb2340,gnss,2023-10-31 00:45:30,1.04,LOW,2023-10-31
70279771,6a49d7fe-414b-487a-a06f-6d3334aa8252,gnss,2023-10-31 00:50:30,1.01,LOW,2023-10-31
70279795,59d938e2-bdd7-421e-ba44-4741fbd4be3e,gnss,2023-10-31 00:55:30,1.013,LOW,2023-10-31
70279822,b6b9d847-3f5a-4d3e-89d4-e523679f9f28,gnss,2023-10-31 01:00:30,1.024,LOW,2023-10-31
70279853,f363c72b-5305-4c09-bcf5-fa4e48de3b14,gnss,2023-10-31 01:05:30,1.027,LOW,2023-10-31
70279869,7ea4cb94-5056-45dd-8df0-04d04dc9b862,gnss,2023-10-31 01:10:30,1.046,LOW,2023-10-31
70279903,bfcb7398-103b-4b1d-859f-ca03c8694998,gnss,2023-10-31 01:15:30,1.038,LOW,2023-10-31
70279941,6dba5561-9c9d-4700-a77b-d7af22f3d284,gnss,2023-10-31 01:20:30,1.035,LOW,2023-10-31
70279944,cc9b4360-2e23-47ba-90e1-ca69567a2a48,gnss,2023-10-31 01:25:30,1.013,LOW,2023-10-31
70279966,49a79200-e040-478c-8dab-8a3cdabaad7c,gnss,2023-10-31 01:30:30,1.012,LOW,2023-10-31
70280009,7fae198b-b4e6-4fc1-bad6-5b4e5d1fcfcf,gnss,2023-10-31 01:35:30,1.004,LOW,2023-10-31
70280052,0de5e8aa-2448-46e9-b9ba-941d56e849d3,gnss,2023-10-31 01:40:30,0.999,LOW,2023-10-31
70280076,43c1a490-a6be-45d1-8008-dd5ab6b48fb2,gnss,2023-10-31 01:45:30,0.981,LOW,2023-10-31
70280126,77b142e6-6138-4ac9-bc3e-241eeab5cfae,gnss,2023-10-31 01:50:30,1.029,LOW,2023-10-31
70280129,4f509d45-0a91-4ece-a7ca-2ea08e7c4fab,gnss,2023-10-31 01:55:30,0.959,LOW,2023-10-31
70280179,d49d473c-4bc6-4af4-9da0-ea395b940cc5,gnss,2023-10-31 02:00:30,0.956,LOW,2023-10-31
70280233,45fb439e-2fc2-4534-ad7d-2883e141f7a7,gnss,2023-10-31 02:05:30,0.927,LOW,2023-10-31
70280288,67108d97-1181-409a-9538-68d90a1df415,gnss,2023-10-31 02:10:30,0.955,LOW,2023-10-31
70280318,07743ad6-d97f-4a5c-9319-a12951fe961d,gnss,2023-10-31 02:15:30,1.146,LOW,2023-10-31
70280324,83bf1e5c-b10f-424e-b33d-fbc72144b6b0,gnss,2023-10-31 02:20:30,1.225,MEDIUM,2023-10-31
70280384,a33aa66f-2859-4274-a044-a32cfc69258b,gnss,2023-10-31 02:25:30,1.225,MEDIUM,2023-10-31
70280417,d1d65376-4c36-44ca-901d-ce4fc96521bc,gnss,2023-10-31 02:30:30,1.209,MEDIUM,2023-10-31
70280485,de99aab6-f7f7-4d8c-8b18-df9cf7009157,gnss,2023-10-31 02:35:30,1.213,MEDIUM,2023-10-31
70280488,faa045f4-e32c-499c-8bc4-ec4e38e9f592,gnss,2023-10-31 02:40:30,1.23,MEDIUM,2023-10-31
70280557,7f7bcabf-f9f4-4d2e-8c9f-8cc9754e2bed,gnss,2023-10-31 02:45:30,1.229,MEDIUM,2023-10-31
70280631,55afee79-cf84-49e1-b5cf-990caeac8497,gnss,2023-10-31 02:50:30,1.221,MEDIUM,2023-10-31
70280668,567510f2-4916-46e9-bb3a-af1569c0e642,gnss,2023-10-31 02:55:30,1.289,MEDIUM,2023-10-31
70280744,4e78ee33-b6e1-4f71-b57a-e60b9d488ffe,gnss,2023-10-31 03:00:30,1.217,MEDIUM,2023-10-31
70280786,8a2ff277-afda-40f8-9170-bb5ef7f44b5f,gnss,2023-10-31 03:05:30,1.193,LOW,2023-10-31
70280789,7de2fcfd-4d58-4fdd-ad78-7f702b3c2951,gnss,2023-10-31 03:10:30,1.188,LOW,2023-10-31
70280870,b2b6e504-717f-40b5-aae0-179de1719782,gnss,2023-10-31 03:15:30,1.258,MEDIUM,2023-10-31
70280956,280d8708-0833-4c33-9e58-1bfbeeabcecc,gnss,2023-10-31 03:20:30,1.252,MEDIUM,2023-10-31
