id,pubid,product,date,cvalue,activity,day
52675733,4bf77abc-402a-4d03-9813-621fb47ed276,gnss,2022-10-30 00:00:30,0.97,LOW,2022-10-30
52675738,0ccac6eb-fb9e-4bff-8735-c2fa0755ebc6,gnss,2022-10-30 00:05:30,0.992,LOW,2022-10-30
52675740,9464d733-5bf2-41e1-810f-febb9a1240a5,gnss,2022-10-30 00:10:30,0.984,LOW,2022-10-30
52675744,8204808a-84ba-4b57-abed-427efd7b9929,gnss,2022-10-30 00:15:30,1.006,LOW,2022-10-30
52675749,8578bb3d-864e-4bb6-9967-02e37907cd5f,gnss,2022-10-30 00:20:30,1.015,LOW,2022-10-30
52675752,d78d718d-db64-4bcc-8228-00b63b3209f3,gnss,2022-10-30 00:25:30,1.052,LOW,2022-10-30
52675768,1e7b90d2-bfd4-40ce-81d9-17d792cb3526,gnss,2022-10-30 00:30:30,1.054,LOW,2022-10-30
52675773,6bc122b3-0aa3-4d0c-8c14-df5ea0981572,gnss,2022-10-30 00:35:30,1.047,LOW,2022-10-30
52675790,df9c5587-9d46-4194-b3ba-f865bd9eca9c,gnss,2022-10-30 00:40:30,1.05,LOW,2022-10-30
52675810,d1f2a990-b590-4a57-b978-0b95efe805bb,gnss,2022-10-30 00:45:30,1.053,LOW,2022-10-30
52675833,e1c7dc10-044c-433d-b338-fbb44c4a8415,gnss,2022-10-30 00:50:30,1.065,LOW,2022-10-30
52675836,e7509d78-b24a-40dd-8110-43b73f0b8d79,gnss,2022-10-30 00:55:30,1.074,LOW,2022-10-30
52675840,dd200b3f-e230-49f5-939e-058e90d16fcc,gnss,2022-10-30 01:00:30,1.083,LOW,2022-10-30
52675845,d7b6955f-b087-4e36-ab49-80667ef11529,gnss,2022-10-30 01:05:30,1.091,LOW,2022-10-30
52675848,f0abc8e4-ef57-40df-9533-01c2ba37c277,gnss,2022-10-30 01:10:30,1.098,LOW,2022-10-30
52675852,ab07c3a1-6566-4d1e-83c4-1de9e03cb907,gnss,2022-10-30 01:15:30,1.103,LOW,2022-10-30
52675857,1e77ba2c-2f0b-4be7-87f4-146de40a92f1,gnss,2022-10-30 01:20:30,1.109,LOW,2022-10-30
52675860,60fc7a52-1420-4f4e-8c0e-ceaffa3ae7fe,gnss,2022-10-30 01:25:30,1.055,LOW,2022-10-30
52675864,e865d907-0852-436e-a4f1-e8528631a85b,gnss,2022-10-30 01:30:30,0.926,LOW,2022-10-30
52675905,24cc2f29-1a05-4943-9ac1-0835bad61ba6,gnss,2022-10-30 01:35:30,0.91,LOW,2022-10-30
52675912,76ecf982-6854-4f1a-8133-5a85ee32b51d,gnss,2022-10-30 01:40:30,0.93,LOW,2022-10-30
52675956,496aa72f-411b-49b1-b530-aa2855b06506,gnss,2022-10-30 01:45:30,0.965,LOW,2022-10-30
52676047,0f5a3e90-f885-4eef-aa76-d5d25fdf9d37,gnss,2022-10-30 01:50:30,0.97,LOW,2022-10-30
52676061,450ce0a4-a82e-4abf-8786-6453d4681ec1,gnss,2022-10-30 01:55:30,0.996,LOW,2022-10-30
52676111,8f63ea32-7bcd-4cdf-bc8d-665a75455b4f,gnss,2022-10-30 02:00:30,0.992,LOW,2022-10-30
52676214,18a51af6-9e2a-4e68-98ed-55e59d675d0c,gnss,2022-10-30 02:05:30,0.995,LOW,2022-10-30
52676217,3bb3ee1a-1185-4b04-8bb7-16f6a948be86,gnss,2022-10-30 02:10:30,0.995,LOW,2022-10-30
52676327,65b0d3c4-82e2-4ee9-96a7-ec2f66759915,gnss,2022-10-30 02:15:30,0.997,LOW,2022-10-30
52676332,305ed6ac-8dd9-46ac-9b7f-65b4cc656a88,gnss,2022-10-30 02:20:30,1.025,LOW,2022-10-30
52676389,9640a17d-a748-4a42-9a20-706254bd2a5b,gnss,2022-10-30 02:25:30,1.033,LOW,2022-10-30
