id,pubid,product,date,cvalue,activity,day
77326084,1ce8b976-36e5-4c0d-867a-5a669eb9712e,gnss,2024-06-06 00:00:30,1.342,MEDIUM,2024-06-06
77326087,c2431d61-786a-406d-bd75-8adb61d237b9,gnss,2024-06-06 00:05:30,1.324,MEDIUM,2024-06-06
77326377,dd90e0b3-b25e-43e7-8aa0-338f68471706,gnss,2024-06-06 00:10:30,1.308,MEDIUM,2024-06-06
77326381,be802c33-458c-45b9-a06c-da0940647db8,gnss,2024-06-06 00:15:30,0.785,LOW,2024-06-06
77326386,55c794ef-bb26-4292-a9b1-c4742d200c51,gnss,2024-06-06 00:20:30,1.109,LOW,2024-06-06
77326389,ce2f6f52-8fb2-472a-8888-f126ff1a6a04,gnss,2024-06-06 00:25:30,1.056,LOW,2024-06-06
77326395,c7836e81-6d74-45b6-851a-af91e2ede5a5,gnss,2024-06-06 00:30:30,1.043,LOW,2024-06-06
77326401,3b7866de-d60f-41f3-bd8a-c6e22d842d95,gnss,2024-06-06 00:35:30,0.987,LOW,2024-06-06
77326414,dbdcc5cf-98b9-43c8-9993-361706e41ef3,gnss,2024-06-06 00:40:30,0.872,LOW,2024-06-06
77326424,5d2f6341-3094-4474-9c29-4816909b030e,gnss,2024-06-06 00:45:30,0.976,LOW,2024-06-06
77326440,aacb56b5-75a9-44cc-9f10-9a5125409625,gnss,2024-06-06 00:50:30,1.04,LOW,2024-06-06
77326443,9ea1fbed-5581-4de3-9178-ec08d1c1418f,gnss,2024-06-06 00:55:30,0.889,LOW,2024-06-06
77326470,8ce3fdfe-2bf4-4dcd-9790-ae13ec381400,gnss,2024-06-06 01:00:30,0.846,LOW,2024-06-06
77326474,846b1b0c-d283-4091-a055-01e86cb0e7d3,gnss,2024-06-06 01:05:30,0.863,LOW,2024-06-06
77326492,f3f9d2fe-d979-42d7-8fa6-d33f7429c634,gnss,2024-06-06 01:10:30,0.952,LOW,2024-06-06
77326509,ea970f92-ff93-4624-9a93-c9450b109749,gnss,2024-06-06 01:15:30,0.902,LOW,2024-06-06
77326545,03e90160-dfc1-4956-a6a2-51e483a2976f,gnss,2024-06-06 01:20:30,0.97,LOW,2024-06-06
77326567,738c417a-e0db-4b99-b75d-f9e8b28b4539,gnss,2024-06-06 01:25:30,0.906,LOW,2024-06-06
77326570,009b7583-85dc-42c1-ad84-d0e7457fba2e,gnss,2024-06-06 01:30:30,0.935,LOW,2024-06-06
77326592,3058e848-4a45-4c08-881a-efc53e002b6f,gnss,2024-06-06 01:35:30,0.8,LOW,2024-06-06
77326617,8b520b97-55f1-4c53-aeb6-cf16b86fdf99,gnss,2024-06-06 01:40:30,0.874,LOW,2024-06-06
77326641,eada701e-233b-4345-8e71-053abbe381e5,gnss,2024-06-06 01:45:30,0.854,LOW,2024-06-06
77326666,671c4938-b764-4d61-9912-9cb3b5945333,gnss,2024-06-06 01:50:30,0.877,LOW,2024-06-06
77326691,4e3ce01b-bbea-4af9-9945-5aacb0f64c50,gnss,2024-06-06 01:55:30,0.86,LOW,2024-06-06
