id,pubid,product,date,cvalue,activity,day
49642356,5e4da43b-4ea9-4369-9ff1-feccc2a339bf,gnss,2022-08-07 00:00:30,0.507,LOW,2022-08-07
49642718,c8d7a8fc-9c56-4972-a163-02204bce0dbe,gnss,2022-08-07 00:05:30,0.577,LOW,2022-08-07
49642560,0149e618-273b-4dfc-8435-7042bf8623b1,gnss,2022-08-07 00:10:30,0.518,LOW,2022-08-07
49642311,90a6a2c3-4d78-4f1c-b213-cfda7254d242,gnss,2022-08-07 00:15:30,0.47,LOW,2022-08-07
49642448,68b02401-ee77-42ec-9d74-7b4561c6d28f,gnss,2022-08-07 00:20:30,0.547,LOW,2022-08-07
49642431,5ddc7bcd-c642-426d-884d-45b3e123309d,gnss,2022-08-07 00:25:30,0.423,LOW,2022-08-07
49642762,7c25c43a-6f0e-4a9c-95cb-7a1113e1a0b5,gnss,2022-08-07 00:30:30,0.446,LOW,2022-08-07
49642513,43517407-0536-4e47-9021-d8eae0c8bf55,gnss,2022-08-07 00:35:30,0.467,LOW,2022-08-07
49642531,ecf8fac1-d742-4e49-b0ae-ce5537311db7,gnss,2022-08-07 00:40:30,0.501,LOW,2022-08-07
49642305,1b7aa83b-7a01-40e7-9b8c-9434fcd37e2e,gnss,2022-08-07 00:45:30,0.526,LOW,2022-08-07
49642515,99aec230-d272-479a-b29a-3f92ebcd59c3,gnss,2022-08-07 00:50:30,0.544,LOW,2022-08-07
49642367,7677e296-aa36-4007-9b10-5e9d1168a45a,gnss,2022-08-07 00:55:30,0.561,LOW,2022-08-07
49642571,95cce9a2-e5de-404e-b77d-186d7896a715,gnss,2022-08-07 01:00:30,0.589,LOW,2022-08-07
49642480,6e3b9b37-d6f2-433f-a4bb-591620bb3fed,gnss,2022-08-07 01:05:30,0.629,LOW,2022-08-07
49642280,739e5031-abac-4ac6-a11b-4cff716e417e,gnss,2022-08-07 01:10:30,0.636,LOW,2022-08-07
49642724,e9784de5-c54c-4b16-9912-9679749d7ce0,gnss,2022-08-07 01:15:30,0.606,LOW,2022-08-07
49642638,964accb1-3e93-4a3c-97f9-22caeb4bc490,gnss,2022-08-07 01:20:30,0.515,LOW,2022-08-07
49642487,72131c05-4204-4961-ad7e-3decc4a652d6,gnss,2022-08-07 01:25:30,0.516,LOW,2022-08-07
