id,pubid,product,date,cvalue,activity,day
77921266,36f9f757-2ff8-490f-9bd6-0dee5438b83f,gnss,2024-07-08 00:00:30,1.902,MEDIUM,2024-07-08
77921270,d96698ed-2cc8-4628-83bd-f01d6a46d455,gnss,2024-07-08 00:05:30,2.238,STRONG,2024-07-08
77921274,0cf5c5fa-2a4b-4c14-bdcd-225d66f3c390,gnss,2024-07-08 00:10:30,1.829,MEDIUM,2024-07-08
77921277,188692cd-512a-4e76-b5d5-d721bbe9ea90,gnss,2024-07-08 00:15:30,2.123,STRONG,2024-07-08
77921290,79c5b115-2dbe-4b82-b20b-9f9edc68ea16,gnss,2024-07-08 00:20:30,1.711,MEDIUM,2024-07-08
77921289,bd290d57-0558-41e3-8632-68c382b5cb16,gnss,2024-07-08 00:25:30,1.773,MEDIUM,2024-07-08
77921288,30b8e531-a7cb-4d03-a023-29c1cc3979ba,gnss,2024-07-08 00:30:30,1.74,MEDIUM,2024-07-08
77921287,14b1a497-9ca8-44c2-9284-c357f6b905ba,gnss,2024-07-08 00:35:30,2.435,STRONG,2024-07-08
77921294,80d30d9b-9bc9-40ca-b7f2-2fd8ac4ea5e0,gnss,2024-07-08 00:40:30,2.016,STRONG,2024-07-08
77921302,ba67f168-d99e-46cf-b62a-8545db99d23b,gnss,2024-07-08 00:45:30,2.078,STRONG,2024-07-08
77921306,8a6fe260-fdd7-4448-933f-29066775e795,gnss,2024-07-08 00:50:30,2.012,STRONG,2024-07-08
77921310,9df8464c-bc93-429a-91f9-ca3536a0b633,gnss,2024-07-08 00:55:30,2.188,STRONG,2024-07-08
77921314,7ba029c3-94d3-4ca0-98c1-d3d5acab390f,gnss,2024-07-08 01:00:30,2.306,STRONG,2024-07-08
77921317,9dd6358c-25c9-41de-a13f-782d63a24923,gnss,2024-07-08 01:05:30,2.254,STRONG,2024-07-08
77921320,769b3c9a-5df0-4b4d-919b-2adb7b34e97c,gnss,2024-07-08 01:10:30,2.326,STRONG,2024-07-08
77921325,1c401453-a560-4c61-99fa-8bf95e28a83c,gnss,2024-07-08 01:15:30,2.193,STRONG,2024-07-08
77921328,a6fb74b2-6434-4011-b840-0c4137e98632,gnss,2024-07-08 01:20:30,2.173,STRONG,2024-07-08
77921332,2873c778-23e0-4274-9202-b26814a32f3d,gnss,2024-07-08 01:25:30,2.102,STRONG,2024-07-08
77921333,88fd735d-468f-44ff-871c-2b34509b800b,gnss,2024-07-08 01:30:30,2.157,STRONG,2024-07-08
77921344,4d3b1d84-f058-40b4-8e35-8c9063d32a68,gnss,2024-07-08 01:35:30,2.147,STRONG,2024-07-08
