id,pubid,product,date,cvalue,activity,day
14236500,968b84b9-b378-4b75-b6a4-366ae0a7fcc0,gnss,2020-10-04 00:00:30,0.634,LOW,2020-10-04
14236503,a74c70ec-d205-4e05-a5c7-7abeeb57cc64,gnss,2020-10-04 00:05:30,0.604,LOW,2020-10-04
14236506,8481e44c-9a3f-45f7-ac35-a71fc1ed6a6b,gnss,2020-10-04 00:10:30,0.609,LOW,2020-10-04
14236515,31d76ebe-f035-46b5-ac89-4caa81ed6b7e,gnss,2020-10-04 00:15:30,0.597,LOW,2020-10-04
14236531,fdc6e8c4-1b15-424a-9278-70b58f49df05,gnss,2020-10-04 00:20:30,0.601,LOW,2020-10-04
14236541,a2c5f94e-7f1b-40c4-a707-d7f52c7e0b90,gnss,2020-10-04 00:25:30,0.595,LOW,2020-10-04
14236565,be699e28-045d-45d7-aa01-a749e881c693,gnss,2020-10-04 00:30:30,0.683,LOW,2020-10-04
14236579,24e7ebb7-de24-4c92-9dc0-67bb2b52a580,gnss,2020-10-04 00:35:30,0.689,LOW,2020-10-04
14236611,e32c877b-739c-4107-9bb4-0711341fa852,gnss,2020-10-04 00:40:30,0.693,LOW,2020-10-04
14236648,0224e8d6-b0b2-4277-8dad-756ed2c9f2ea,gnss,2020-10-04 00:45:30,0.67,LOW,2020-10-04
14236689,df6f79db-f8a4-4755-bf28-66fb65109ae0,gnss,2020-10-04 00:50:30,0.694,LOW,2020-10-04
14236713,20f41d12-4a2b-4633-917d-ce4afa8f46b1,gnss,2020-10-04 00:55:30,0.704,LOW,2020-10-04
14236763,6dd2f3f9-2b3f-400e-8317-95cc77d8d1ee,gnss,2020-10-04 01:00:30,0.678,LOW,2020-10-04
14236789,16bde23e-4c73-4015-a6e3-b8a91e5d1641,gnss,2020-10-04 01:05:30,0.726,LOW,2020-10-04
14236847,5388321c-71ae-4fe9-bedc-46a218938463,gnss,2020-10-04 01:10:30,0.735,LOW,2020-10-04
14236878,d5e209c2-5990-4e2d-8fba-63ee878a481b,gnss,2020-10-04 01:15:30,0.74,LOW,2020-10-04
14236943,435e6fb0-6c1d-4621-a94c-582066ebfe07,gnss,2020-10-04 01:20:30,0.768,LOW,2020-10-04
14236977,10557530-3e0b-49c6-8f8a-562d0021b2e1,gnss,2020-10-04 01:25:30,0.764,LOW,2020-10-04
14237034,7cacb206-04c7-48e7-8158-83dc07f0346b,gnss,2020-10-04 01:30:30,0.756,LOW,2020-10-04
14237073,b0d8aa32-d2b1-4c06-92f2-f4ea4b03d013,gnss,2020-10-04 01:35:30,0.758,LOW,2020-10-04
14237153,099cbdc4-1502-4d66-aebb-3b69f97b72ad,gnss,2020-10-04 01:40:30,0.783,LOW,2020-10-04
14237217,fb462c9c-c3d2-4c11-b656-a224c4defdb5,gnss,2020-10-04 01:45:30,0.789,LOW,2020-10-04
