id,pubid,product,date,cvalue,activity,day
65587550,1ea0cef4-594b-4342-b5df-7bbd564dc6c4,gnss,2023-07-21 00:00:30,0.77,LOW,2023-07-21
65587553,b72e0e1b-6890-4755-96e8-92edc5895b38,gnss,2023-07-21 00:05:30,0.824,LOW,2023-07-21
65587558,d5ec9741-03ea-4778-8a64-1be6d07ebb07,gnss,2023-07-21 00:15:30,0.67,LOW,2023-07-21
65587567,b92afe29-7e55-4eb5-9af2-c2d23801b043,gnss,2023-07-21 00:20:30,0.735,LOW,2023-07-21
65587570,d9b30418-eb30-4e2d-8500-d97648d55474,gnss,2023-07-21 00:25:30,0.602,LOW,2023-07-21
65587589,28e797af-18e6-434e-852f-32fa6da724ce,gnss,2023-07-21 00:30:30,0.533,LOW,2023-07-21
65587611,3286b237-c365-4cfc-a372-ae087cb1a993,gnss,2023-07-21 00:35:30,0.668,LOW,2023-07-21
65587614,bc08a4dc-f5da-4d6e-b299-828d2daffe21,gnss,2023-07-21 00:40:30,0.683,LOW,2023-07-21
65587651,892b2aec-275f-4eff-b91e-df7079701192,gnss,2023-07-21 00:45:30,0.657,LOW,2023-07-21
65587654,4614e6df-88d7-41f8-b34e-a91bb82c0471,gnss,2023-07-21 00:50:30,0.646,LOW,2023-07-21
65587676,ae75ee1f-4e2c-4bae-ad26-fde833a81614,gnss,2023-07-21 00:55:30,0.648,LOW,2023-07-21
65587700,db7aa29c-b691-40a3-8736-2f7cd8fd6929,gnss,2023-07-21 01:00:30,0.637,LOW,2023-07-21
65587742,461b5c23-fb8d-4bfa-8afc-7252ea994fc7,gnss,2023-07-21 01:10:30,0.564,LOW,2023-07-21
65587772,00d8104b-3377-4609-a166-104fdcf52823,gnss,2023-07-21 01:15:30,0.566,LOW,2023-07-21
65587805,287f8629-5d67-4d60-b6e8-bc311abce6d3,gnss,2023-07-21 01:20:30,0.574,LOW,2023-07-21
65587840,3951966f-ee1f-43ca-904f-d3502592d119,gnss,2023-07-21 01:25:30,0.594,LOW,2023-07-21
65587877,d73eb114-fd17-4f81-838d-ca271cda2796,gnss,2023-07-21 01:30:30,0.607,LOW,2023-07-21
65587937,50b09e2b-c131-420e-a494-dc28b29f6c81,gnss,2023-07-21 01:35:30,0.628,LOW,2023-07-21
65587940,1272a243-32b5-486f-b877-97765d7055b9,gnss,2023-07-21 01:40:30,0.653,LOW,2023-07-21
65588003,4bea872f-40b3-48fe-bfac-7e805628e80a,gnss,2023-07-21 01:45:30,0.677,LOW,2023-07-21
65588007,3c4fc4b8-4fd9-4e26-be5e-dca34aa2aab6,gnss,2023-07-21 01:50:30,0.7,LOW,2023-07-21
65588054,e853fd0d-9bdb-44cc-8143-2563981883f5,gnss,2023-07-21 01:55:30,0.718,LOW,2023-07-21
65588103,6f5beccf-4532-4c39-bacc-0712393b47f9,gnss,2023-07-21 02:00:30,0.712,LOW,2023-07-21
65588204,7d19b9c2-2a31-4b35-bbc9-6807ec2b7662,gnss,2023-07-21 02:05:30,0.612,LOW,2023-07-21
65588207,bca300f7-24f4-4ec7-b01a-20b586c862eb,gnss,2023-07-21 02:10:30,0.572,LOW,2023-07-21
65588316,19669589-efc8-43d9-b744-49fe8cf63760,gnss,2023-07-21 02:15:30,0.569,LOW,2023-07-21
65588374,570b1cfa-95ca-4d71-81ce-eb314de15b79,gnss,2023-07-21 02:20:30,0.566,LOW,2023-07-21
65588377,032ac56f-c740-4341-8bcd-4f5a6ad02610,gnss,2023-07-21 02:25:30,0.523,LOW,2023-07-21
65588438,29ad15c6-941d-47cb-808e-9f8da5654f96,gnss,2023-07-21 02:30:30,0.563,LOW,2023-07-21
65588502,090fa165-739d-4d5d-a70b-e03d58297de1,gnss,2023-07-21 02:35:30,0.707,LOW,2023-07-21
65588566,6c516e9a-8709-44df-a40d-341c4eb2290d,gnss,2023-07-21 02:40:30,0.486,LOW,2023-07-21
65588601,19c7e4f4-a1b3-48eb-8f7c-92facc730751,gnss,2023-07-21 02:45:30,0.544,LOW,2023-07-21
65588671,eaa1b4bc-f1ff-48d0-a34e-78de3d5f0174,gnss,2023-07-21 02:50:30,0.521,LOW,2023-07-21
65588741,5ad7c762-50cc-4bff-aa34-e980d9921d40,gnss,2023-07-21 02:55:30,0.549,LOW,2023-07-21
65588813,a68cb5ce-f4ba-4269-823e-2986492aee4f,gnss,2023-07-21 03:00:30,0.553,LOW,2023-07-21
65588889,071db76a-0031-477f-910f-e1e940e2bdd2,gnss,2023-07-21 03:05:30,0.563,LOW,2023-07-21
65588966,13253645-eab8-4f06-b2f9-d777fe20fcba,gnss,2023-07-21 03:10:30,0.562,LOW,2023-07-21
65589044,99a4c98e-6914-45fb-b2a8-1053c35b88bd,gnss,2023-07-21 03:15:30,0.577,LOW,2023-07-21
65589167,666e3bfc-5fab-4a56-b440-a077f7a7ef78,gnss,2023-07-21 03:20:30,0.584,LOW,2023-07-21
65589170,a77e27df-ef83-4b65-bd59-55a9e8984f14,gnss,2023-07-21 03:25:30,0.593,LOW,2023-07-21
65589254,e6a03692-007c-4c5b-9b24-6913022ef980,gnss,2023-07-21 03:30:30,0.603,LOW,2023-07-21
65589342,ca7279c0-a8bb-4787-acc3-5b2ba5b1013d,gnss,2023-07-21 03:35:30,0.593,LOW,2023-07-21
65589431,ad231479-23ba-47ae-b3ec-f53578618803,gnss,2023-07-21 03:40:30,0.634,LOW,2023-07-21
65589522,1c2b6aa6-75f7-4474-bc2d-4335e6362b00,gnss,2023-07-21 03:45:30,0.609,LOW,2023-07-21
65589571,3eadec36-86b5-425a-99e3-c1c86b014893,gnss,2023-07-21 03:50:30,0.638,LOW,2023-07-21
65589667,55e8acfc-7a70-4c76-adea-4652697f7992,gnss,2023-07-21 03:55:30,0.716,LOW,2023-07-21
65589717,530ca7b2-cd2b-4fdd-91eb-4c344a37491b,gnss,2023-07-21 04:00:30,0.81,LOW,2023-07-21
65589818,20cbeb81-536b-46b4-bdd6-da390633fe7e,gnss,2023-07-21 04:05:30,0.822,LOW,2023-07-21
65589821,3e7f42d6-f433-4a49-bc41-b409fa02534b,gnss,2023-07-21 04:10:30,0.815,LOW,2023-07-21
65590027,1aac535e-bc61-46dc-b81f-45562c85c9ce,gnss,2023-07-21 04:20:30,0.844,LOW,2023-07-21
65590134,ba03f780-9c18-41cf-9404-aaa4d3890525,gnss,2023-07-21 04:25:30,0.845,LOW,2023-07-21
65590190,a328ce33-1ada-454d-8773-08b659179504,gnss,2023-07-21 04:30:30,0.85,LOW,2023-07-21
65590194,51ad4f2e-60b4-433b-b91e-0ebc9c2f50c9,gnss,2023-07-21 04:35:30,0.862,LOW,2023-07-21
