id,pubid,product,date,cvalue,activity,day
30967670,d34553ab-1973-4d5b-ba06-669ab7bd9ecf,gnss,2021-04-06 00:00:30,0.779,LOW,2021-04-06
30967674,bd345dc9-56d9-4996-8dbd-0305c009123e,gnss,2021-04-06 00:05:30,0.705,LOW,2021-04-06
30967676,efed6023-da49-434c-aee6-7ba541b8ef38,gnss,2021-04-06 00:10:30,0.717,LOW,2021-04-06
30967686,277fd4da-9f38-4600-8a94-7c088e5b9b7c,gnss,2021-04-06 00:15:30,0.706,LOW,2021-04-06
30967702,f73523bd-775d-4134-9eb9-e6cd2a943f34,gnss,2021-04-06 00:20:30,0.696,LOW,2021-04-06
30967715,18828e72-11af-40c3-8383-f8dd5b108fba,gnss,2021-04-06 00:25:30,0.677,LOW,2021-04-06
30967740,74bec7f6-56c9-45c3-ad57-9281ad27336c,gnss,2021-04-06 00:30:30,0.636,LOW,2021-04-06
30967769,bfd3721a-7482-4461-b094-a354ddea9e15,gnss,2021-04-06 00:35:30,0.628,LOW,2021-04-06
30967788,e23a591c-43f0-4ed2-b150-d341cb460edc,gnss,2021-04-06 00:40:30,0.631,LOW,2021-04-06
30967826,25a83b6f-0fed-453d-b61d-4367eeb84358,gnss,2021-04-06 00:45:30,0.697,LOW,2021-04-06
30967848,5035717c-a824-4a45-944c-64ce85941f60,gnss,2021-04-06 00:50:30,0.651,LOW,2021-04-06
30967893,17c845e4-d846-4231-9852-2120638d6943,gnss,2021-04-06 00:55:30,0.659,LOW,2021-04-06
30967920,b4947db6-4321-4398-92d0-c58206470adb,gnss,2021-04-06 01:00:30,0.967,LOW,2021-04-06
30967973,ab1b7f02-15a9-4068-8139-087e4b16606f,gnss,2021-04-06 01:05:30,0.593,LOW,2021-04-06
30968002,65d57e8a-ca2a-4769-bd8b-d4f0ddaab9d9,gnss,2021-04-06 01:10:30,0.599,LOW,2021-04-06
30968063,358094e2-88f3-4673-a4e0-0761155366e7,gnss,2021-04-06 01:15:30,0.597,LOW,2021-04-06
30968096,97e1bc73-f934-432e-b47f-66eed82a2b04,gnss,2021-04-06 01:20:30,0.604,LOW,2021-04-06
30968165,c5093e88-269b-4d23-8571-03b21d1a2ec1,gnss,2021-04-06 01:25:30,0.621,LOW,2021-04-06
30968238,af054222-ccc8-43e9-8d83-24c65415ff18,gnss,2021-04-06 01:30:30,0.615,LOW,2021-04-06
30968281,bc497664-ff18-4173-a9b0-6b488181eb08,gnss,2021-04-06 01:35:30,0.604,LOW,2021-04-06
30968361,91de43b8-8ae3-4e49-855c-49cf12cc60ef,gnss,2021-04-06 01:40:30,0.622,LOW,2021-04-06
30968406,248d40f7-c879-4a03-bd45-b68aac10092a,gnss,2021-04-06 01:45:30,0.63,LOW,2021-04-06
30968496,5789047e-f8dc-47ba-9e2a-d6405d56494b,gnss,2021-04-06 01:50:30,0.667,LOW,2021-04-06
30968591,fd5814e2-5c91-4eb4-ab0a-090a134c101d,gnss,2021-04-06 01:55:30,0.65,LOW,2021-04-06
30968641,5c86fa46-583f-4872-94a3-6d0dffe6c289,gnss,2021-04-06 02:00:30,0.656,LOW,2021-04-06
30968743,fb5550c8-c22e-43c9-8f13-be69aa0c0d9a,gnss,2021-04-06 02:05:30,0.632,LOW,2021-04-06
30968772,261da5d0-bf15-4471-bbd1-e73ceb31234e,gnss,2021-04-06 02:10:30,0.613,LOW,2021-04-06
30968855,fea255d3-ae39-4be0-8115-6c7206d171f6,gnss,2021-04-06 02:15:30,0.612,LOW,2021-04-06
30968915,7d5f95a8-cb65-401f-b6a6-9a27f3b48bec,gnss,2021-04-06 02:20:30,0.615,LOW,2021-04-06
30969033,0fc707c4-16c0-49ea-b3ed-7c92edf95b92,gnss,2021-04-06 02:25:30,0.62,LOW,2021-04-06
